Competitor ID,ASIN,Brand Name,Category,Product Name,Current Price,Historical Avg Price,Units Sold (30 Days),Market Share %,Search Rank,Review Count,Average Rating,Sponsored Position,Ad Spend (30 Days),ACOS %,Conversion Rate,Click Through Rate
C001,B08XVZM39M,TechPro,Electronics,Premium Wireless Buds,94.99,99.99,92,12.5,3,567,4.5,2,1250.00,14.5,11.8%,26.5%
C002,B09DKXY3BX,SmartHome,Home & Kitchen,Deluxe Coffee System,139.99,149.99,38,8.2,5,234,4.3,4,850.00,16.2,7.5%,20.8%
C003,B07YKF3G5D,FitLife,Sports,Pro Yoga Mat,39.99,37.99,105,14.8,2,412,4.7,1,680.00,12.8,14.2%,30.5%
C004,B08L5P8KT5,NatureCare,Beauty,Advanced Face Serum,29.99,27.99,142,19.5,1,892,4.8,3,920.00,13.5,17.8%,34.2%
C005,B09FKXHPN6,PetPro,Pet Supplies,Professional Training Set,54.99,52.99,82,11.2,4,345,4.4,6,750.00,15.8,13.5%,27.8%
C006,B07QRXMK8A,EduPress,Books,Executive Business Guide,22.99,21.99,220,24.5,2,678,4.2,5,420.00,11.2,21.2%,40.5%
C007,B09HMJXW77,TechKids,Toys,Smart Robot Learner,84.99,89.99,58,9.8,6,289,4.5,4,980.00,17.5,10.5%,23.8%
C008,B08TWRQR8Y,UrbanGear,Fashion,Travel Backpack Pro,64.99,69.99,95,13.2,3,445,4.3,2,850.00,14.8,12.8%,26.9%
C009,B07XFMJ2NQ,WellLife,Health,Premium Vitamin Pack,32.99,34.99,155,21.2,2,1023,4.6,1,680.00,12.5,18.5%,36.4%
C010,B09CGLNQ5Y,WorkTech,Office,Pro Gaming Keyboard,99.99,104.99,48,6.8,7,567,4.4,3,920.00,16.8,9.8%,22.5%