product_name,category,price,competition_level,estimated_monthly_sales,confidence
Heavy Duty Snow Scraper,snow scrapers,12.99,Medium,185,High
Extendable Snow Brush,snow scrapers,18.50,Low,240,Very High
Ice Scraper with Glove,snow scrapers,9.99,High,120,Medium
Snow Scraper with Foam Grip,snow scrapers,7.49,Medium,95,Medium
Car Snow Brush with Telescopic Handle,snow scrapers,22.99,Low,210,High
Mini Ice Scraper for Cars,snow scrapers,5.99,High,75,Low
Snow Removal Tool Kit,snow scrapers,29.99,Medium,155,High
Ergonomic Snow Scraper,snow scrapers,14.99,Medium,135,High
Snow Brush with Ice Scraper,snow scrapers,11.50,High,110,Medium
Heavy Duty Truck Snow Scraper,snow scrapers,34.99,Low,95,Medium
Snow Scraper with Squeegee,snow scrapers,8.99,Medium,105,Medium
Car Snow Removal Kit,snow scrapers,19.99,Medium,175,High
Compact Ice Scraper,snow scrapers,6.99,High,85,Low
Snow Scraper with Long Handle,snow scrapers,16.50,Low,195,Very High
Professional Grade Snow Brush,snow scrapers,26.99,Medium,145,High
Snow Scraper with LED Light,snow scrapers,15.99,Low,125,Medium
Car Roof Snow Removal Tool,snow scrapers,24.99,Low,105,Medium
Snow Scraper with Angle Head,snow scrapers,10.99,Medium,115,Medium
Heavy Duty Ice Scraper,snow scrapers,13.50,High,90,Low
Snow Brush with Snow Pusher,snow scrapers,17.99,Medium,165,High