productName,campaign,adSpend,sales,impressions,clicks
"Sample Product","Auto Campaign - Hyaluronic Acid Serum",132.45,645.90,8540,215
"Sample Product","Sponsored Products - Vitamin C Face Mask",89.90,320.45,6210,178
"Sample Product","Sponsored Brands - Retinol Night Cream",167.80,845.25,9325,265
"Sample Product","Manual Campaign - CBD Body Lotion",210.30,923.70,11240,332
"Sample Product","Sponsored Display - Collagen Eye Cream",155.55,734.85,9650,287
"Sample Product","Auto Campaign - Retinol Serum",198.25,945.30,11200,315
"Sample Product","Sponsored Products - Ceramide Moisturizer",145.90,680.45,8450,240
"Sample Product","Auto Campaign - AHA/BHA Peel",122.75,590.20,7650,205
"Sample Product","Sponsored Brands - Hyaluronic Acid Toner",88.40,420.75,5820,165
"Sample Product","Manual Campaign - Vitamin C Mask",132.60,645.90,8750,220
"Sample Product","Auto Campaign - Niacinamide Serum",178.90,855.25,9650,290
"Sample Product","Sponsored Products - Rosehip Oil",95.45,465.80,6420,185
"Sample Product","Manual Campaign - SPF 50 Sunscreen",165.20,785.40,9250,275
"Sample Product","Auto Campaign - Ceramide Moisturizer",98.75,423.60,7325,204
"Sample Product","Sponsored Products - Hair Growth Serum",143.20,687.30,8845,245
"Sample Product","Sponsored Brands - Acne Treatment Kit",121.90,587.45,7980,225
"Sample Product","Manual Campaign - LED Face Mask",298.45,1345.80,15420,415
"Sample Product","Auto Campaign - Microcurrent Device",187.60,845.90,10235,298
"Sample Product","Sponsored Products - Scalp Massager",76.85,345.75,6540,185
"Sample Product","Sponsored Brands - Jade Roller Set",65.30,287.40,5320,158